"","mit_sku","year","month","mfg","unit_sale","cost","conductor","phase","kva","p_volt","s_volt","date","weeks_time"
"4356","MIT-DRY-103",2019,1,"egr",1836,713,"AL","3",75,"480D","208Y",2019-01-01,30.6
"4357","MIT-DRY-103",2020,1,"egr",1495,713,"AL","3",75,"480D","208Y",2020-01-01,82.7
"4358","MIT-DRY-103",2019,11,"egr",1575,713,"AL","3",75,"480D","208Y",2019-11-01,74
"4359","MIT-DRY-103",2019,12,"egr",1575,713,"AL","3",75,"480D","208Y",2019-12-01,78.3
"4360","MIT-DRY-103",2019,2,"egr",1891,713,"AL","3",75,"480D","208Y",2019-02-01,35
"4361","MIT-DRY-103",2019,9,"egr",1800,713,"AL","3",75,"480D","208Y",2019-09-01,65.3
"4362","MIT-DRY-103",2019,4,"egr",1891,713,"AL","3",75,"480D","208Y",2019-04-01,43.4
"4363","MIT-DRY-103",2019,10,"egr",1575,713,"AL","3",75,"480D","208Y",2019-10-01,69.6
"4364","MIT-DRY-103",2020,1,"egr",1575,713,"AL","3",75,"480D","208Y",2020-01-01,82.7
"4365","MIT-DRY-103",2018,12,"egr",1836,713,"AL","3",75,"480D","208Y",2018-12-01,26.1
"4366","MIT-DRY-103",2018,11,"egr",1836,713,"AL","3",75,"480D","208Y",2018-11-01,21.9
"4367","MIT-DRY-103",2019,9,"egr",1575,713,"AL","3",75,"480D","208Y",2019-09-01,65.3
"4368","MIT-DRY-103",2018,8,"egr",1723,713,"AL","3",75,"480D","208Y",2018-08-01,8.7
"4369","MIT-DRY-119",2021,3,"hps",750,710.11,"AL","1",15,"240x480","120/240",2021-03-01,143.4
"4370","MIT-DRY-119",2021,2,"hps",750,709.08,"AL","1",15,"240x480","120/240",2021-02-01,139.4
"4371","MIT-DRY-119",2020,3,"hps",1403,705.99,"AL","1",15,"240x480","120/240",2020-03-01,91.3
"4372","MIT-AUT-112",2021,6,"hps",1072,705.08,"CU","3",9,"600Y","208Y",2021-06-01,156.6
